"test_item","test_time","test_owner","dispose","Remark"
Acoustic Noise Test,10,王世敏,回线,"以测试5台为基础计算,每台测试时间为2小时."
Adapter EMI/Drop/Ball Impact,24,刘唐英/王世敏,报废,
Amazon All ORT Test,360,余军平/王世敏/李志斌/刘唐英,报废,
Amazon Mechanical ORT Test,192,王世敏/李志斌/刘唐英,报废,
For AMZ Burn In Test,168,李志斌,回线,
For Dell ORT Test (PC),226,李刚/李志斌/史建军/王世敏,回线,Thermal Shock-->B/I 168Hrs-->EMI-->Acoustic(新增）
Google _All,192,李志斌/王世敏/李刚,报废,样品需保留一年才可以报废.
Google_Burn In Test (By Day),192,李刚,报废,样品需保留一年才可以报废.
Google_Tumble/Drop Test (By Day),24,王世敏,报废,样品需保留一年才可以报废.
"Google_BI,Drop,Tumble Test (By Day)",168,王世敏,报废,样品需保留一年才可以报废.
Google_EMI/ESD Test (By MO),96,刘唐英,报废,样品需保留一年才可以报废.
"Google_BI,Drop,Tumble,EMC Test (By MO&Day)",168,王世敏/刘唐英,报废,样品需保留一年才可以报废.
ATE,16.0 ,陈建明,回线,"Adapter
PC,Server,Open frame"
EMC&Dell ORT Test,696,李刚/刘唐英/史建军/余军平/李志斌,回线,
Ball Impact Test,1.25,王世敏,报废,"以测试5台为基础计算,每台测试时间为0.25小时."
Bench Test,4.0 ,陈建明,报废,"Adapter
PC,Server,Open frame"
Burn In Test,168,李刚,回线,
Conducted EMI Measurement,2.5,李志斌,回线,"以测试5台为基础计算,每台测试时间为 0.5小时."
DMTBF Test,1440,李刚,报废,"初步以2个月60天为基础,实际以计算为准."
Drop Test,1.25,王世敏,报废,"以测试5台为基础计算,每台测试时间为0.25小时."
Electrical Fast Transient / Burst Immunity Test,2.5,李志斌,报废,"以测试5台为基础计算,每台测试时间为 0.5小时."
ESD Test,10,李志斌,报废,"以测试5台为基础计算,每台测试时间为2小时."
HALT Test,168,余军平,报废,
Harmonic,2.0 ,李志斌,回线,
HASA,4.0 ,余军平,回线,
ION Test,3.0 ,刘唐英,报废,
Microsection Analysis,4.0 ,李志斌/刘唐英,报废,"Adapter
PC,Server,Open frame"
Non-Operational Temperature and Humidity Test,72,余军平,报废,":For Adapter
:For PC,Server,Open frame"
ORT Rel Test For MP Stage,216,史建军/李志斌/李刚,报废,"试验顺序: Conducted EMI->Thermal Shock->B/I->Drop&Ball (For Adapter)"
ORT Rel Test For NPI Stage,504,李志斌/余军平/刘唐英/李刚/史建军/王世敏,报废,"试验顺序:非破坏->破坏性
Adapter,PC,Server,Open frame"
PLD Test,1.0 ,刘唐英,报废,
POS Test,40.0 ,余军平,报废,
Power and Temperature Cycling (PTC) Test,50,余军平,报废,"Adapter
PC,Server,Open frame"
Strain Gage Test,4,余军平,报废,
Stress Analysis Test,96,陈建明,报废,"Adapter
PC,Server,Open frame"
Surface Temperature Test,4,刘唐英,报废,
Surge Immunity Test,20,刘唐英,报废,"以测试5台为基础计算,每台测试时间为 4小时."
Taber Linear Abrasion,1.0 ,王世敏,报废,"以测试5台为基础计算,每台测试时间为12分钟."
Thermal Shock Test,11,史建军,回线,
Thermal Test,8,刘唐英,报废,
Tumble Test,1.0 ,王世敏,报废,"以测试5台为基础计算,每台测试时间为12分钟."
"TCH_EMI,表面温升,Drop,Ball Test (By MO)",48.0 ,王世敏/刘唐英,报废,
Vibration Test,3.5,余军平,报废,
Packing Vibration Test,3.5,余军平,回线,公路卡车频谱(1.5小时)→目视检查→空运频谱(1.5小时)→目视检查/功能检查。
熔融指数,5,李志斌/刘唐英,报废,
海康威视All ORT Test (By季度&By月),696,李刚/史建军/余军平/刘唐英,报废,
海康威视B/I 168Hrs Test (By月),168,李刚,回线,
Connector Cycling Test,15,王世敏,报废,"以测试5台为基础计算,每台测试时间为 3小时."
Cross Section Analysis,2.5,李志斌/刘唐英,报废,"Adapter,PC,Server,Open frame"
